file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
isha_yougo.mp3,0.008,3.744,SPEAKER_01,次の方どうぞ,LABEL_2,0.7993,2025-09-14T07:22:39
isha_yougo.mp3,4.083,4.338,SPEAKER_01,パン,LABEL_0,0.894,2025-09-14T07:22:39
isha_yougo.mp3,6.715,18.786,SPEAKER_01,お願いします宮本さんまだ咳続いてるみたいですねそうなんですよ、ちょっとまだ外相があのー、脂性外相なんですけどなるほどー,LABEL_3,0.3322,2025-09-14T07:22:39
isha_yougo.mp3,14.032,14.44,SPEAKER_00,まあね,LABEL_0,0.7303,2025-09-14T07:22:39
isha_yougo.mp3,16.019,16.494,SPEAKER_00,うん,LABEL_0,0.9305,2025-09-14T07:22:39
isha_yougo.mp3,19.007,21.74,SPEAKER_01,ちょっとレントゲン取ったの見ていただいて,LABEL_2,0.9288,2025-09-14T07:22:39
isha_yougo.mp3,19.075,19.143,SPEAKER_00,ありがとうございました,LABEL_0,0.9841,2025-09-14T07:22:39
isha_yougo.mp3,19.177,19.788,SPEAKER_00,レントゲン,LABEL_0,0.7542,2025-09-14T07:22:39
isha_yougo.mp3,19.907,20.586,SPEAKER_00,そういったのを見ていて,LABEL_0,0.9753,2025-09-14T07:22:39
isha_yougo.mp3,21.01,21.044,SPEAKER_00,ありがとうございました。,LABEL_0,0.9849,2025-09-14T07:22:39
isha_yougo.mp3,21.061,21.197,SPEAKER_00,はい,LABEL_0,0.9331,2025-09-14T07:22:39
isha_yougo.mp3,23.574,26.358,SPEAKER_01,こちらなんですけど,LABEL_0,0.8762,2025-09-14T07:22:39
isha_yougo.mp3,26.732,28.005,SPEAKER_01,まあ全然綺麗なハイです,LABEL_0,0.9672,2025-09-14T07:22:39
isha_yougo.mp3,28.005,29.839,SPEAKER_00,ですよ、何の問題もなく,LABEL_0,0.9793,2025-09-14T07:22:39
isha_yougo.mp3,30.28,38.141,SPEAKER_00,そうですねコンソリデーションもエアブロンプクラブもないしCTRも大丈夫ですねCPAもシャープで骨何秒も大丈夫そっか,LABEL_2,0.7645,2025-09-14T07:22:39
isha_yougo.mp3,38.82,39.958,SPEAKER_00,ハイワクリアですね,LABEL_0,0.9349,2025-09-14T07:22:39
isha_yougo.mp3,40.433,41.961,SPEAKER_00,じゃあ何なんだろう,LABEL_0,0.6324,2025-09-14T07:22:39
isha_yougo.mp3,43.014,43.998,SPEAKER_00,ちょっとたんでるんで,LABEL_1,0.6688,2025-09-14T07:22:39
isha_yougo.mp3,43.998,49.329,SPEAKER_01,核タンパイン用だけ提出しておきましょうかタンパインお願いしますわかりました,LABEL_0,0.5311,2025-09-14T07:22:39
isha_yougo.mp3,50.127,53.2,SPEAKER_01,もしかして医療関係の方ですか?,LABEL_3,0.9248,2025-09-14T07:22:39
isha_yougo.mp3,53.659,53.862,SPEAKER_01,あ,LABEL_0,0.3961,2025-09-14T07:22:39
isha_yougo.mp3,54.66,56.477,SPEAKER_01,まあそんな感じですね,LABEL_0,0.8572,2025-09-14T07:22:39
isha_yougo.mp3,57.309,60.382,SPEAKER_01,一応順次出ますそれに,LABEL_2,0.8676,2025-09-14T07:22:39
isha_yougo.mp3,60.484,62.385,SPEAKER_01,じゃあちょっと検査で呼ぶので,LABEL_2,0.6129,2025-09-14T07:22:39
isha_yougo.mp3,63.031,66.239,SPEAKER_01,一旦お借りくださいはいお願いします,LABEL_2,0.9708,2025-09-14T07:22:39
isha_yougo.mp3,67.954,68.158,SPEAKER_01,ありがとうございました,LABEL_0,0.9841,2025-09-14T07:22:39
