file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
isha_yougo.mp3,0.008,2.487,SPEAKER_00,次の方どうぞ,LABEL_2,0.7993,2025-09-14T06:02:03
isha_yougo.mp3,5.017,14.626,SPEAKER_00,失礼します。お願いします。今日はどうなされました?3日前から熱発して、全身倦怠感があって、イントツーもあります。,LABEL_1,0.8277,2025-09-14T06:02:03
isha_yougo.mp3,14.779,14.813,SPEAKER_00,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,14.813,15.289,SPEAKER_01,なるほど,LABEL_3,0.912,2025-09-14T06:02:03
isha_yougo.mp3,15.289,24.185,SPEAKER_00,あとは2日前からは大きいも出てきて実際にオートもしてしまってあとは右下腹部痛みと水溶性の難弁もあります,LABEL_1,0.9595,2025-09-14T06:02:03
isha_yougo.mp3,24.847,33.812,SPEAKER_00,熱はありますか?熱は高熱39.5度ぐらいで、一応視聴熱の形はとっています。,LABEL_5,0.6592,2025-09-14T06:02:03
isha_yougo.mp3,33.812,34.1,SPEAKER_01,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,35.017,44.219,SPEAKER_00,普段飲んでるお薬とかあります? 寝る前に、花粉症なんでビラスチン飲んでるのと、トランニン・キサムさんも飲んでます。,LABEL_2,0.9596,2025-09-14T06:02:03
isha_yougo.mp3,45.56,48.243,SPEAKER_01,なんか医療のお仕事されてます?,LABEL_2,0.5277,2025-09-14T06:02:03
isha_yougo.mp3,48.752,48.803,SPEAKER_01,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,48.803,49.007,SPEAKER_00,おまえ,LABEL_4,0.8656,2025-09-14T06:02:03
isha_yougo.mp3,49.007,49.431,SPEAKER_01,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,49.431,49.482,SPEAKER_00,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,49.482,51.791,SPEAKER_01,そうですね、そんな感じですかね,LABEL_0,0.6313,2025-09-14T06:02:03
isha_yougo.mp3,51.927,52.98,SPEAKER_01,はい,LABEL_0,0.9331,2025-09-14T06:02:03
isha_yougo.mp3,53.981,59.058,SPEAKER_01,わかりました。じゃあちょっとお薬出しておきますね。はい、ありがとうございます。,LABEL_0,0.9076,2025-09-14T06:02:03
isha_yougo.mp3,59.058,59.805,SPEAKER_00,お疲れ様でした,LABEL_0,0.9827,2025-09-14T06:02:03
isha_yougo.mp3,59.143,59.72,SPEAKER_01,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,59.805,60.008,SPEAKER_01,,neutral,0.0,2025-09-14T06:02:03
isha_yougo.mp3,60.008,60.874,SPEAKER_00,はい,LABEL_0,0.9331,2025-09-14T06:02:03
