file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
amagasaki__2014_10_28_2min.mp3,1.282,2.521,SPEAKER_00,みなさんこんにちは,LABEL_0,0.9639,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,3.014,4.593,SPEAKER_00,あまが先市長の稲村です。,LABEL_0,0.9148,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,5.255,7.903,SPEAKER_00,今回は秋の特別企画として,LABEL_0,0.6838,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,8.005,12.487,SPEAKER_00,一律 余川先高校 放送部による番組をお届けします,LABEL_0,0.8676,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,12.963,17.615,SPEAKER_00,それでは、一律あまがさき高校放送部の皆さん、よろしくお願いします。,LABEL_2,0.867,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,19.822,20.908,SPEAKER_01,みなさん こんにちは,LABEL_0,0.9683,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,21.333,24.134,SPEAKER_01,私は、甘岡先市立甘岡先高等学校。,LABEL_0,0.6469,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,24.355,26.002,SPEAKER_01,放送部のかわしりあやかです,LABEL_0,0.9791,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,26.834,27.598,SPEAKER_01,今日はここ,LABEL_0,0.8175,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,27.784,30.518,SPEAKER_01,FM 上が先のスタジオにお邪魔しています。,LABEL_0,0.9588,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,31.689,32.623,SPEAKER_01,ここで今日は,LABEL_0,0.6002,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,32.776,34.932,SPEAKER_01,一山 女子体操協議部の,LABEL_0,0.8423,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,35.034,36.205,SPEAKER_01,ホンダミナミサント,LABEL_0,0.8896,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,36.8,38.226,SPEAKER_01,彼女を指導されている。,LABEL_0,0.838,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,38.599,41.35,SPEAKER_01,大学化教員の駅谷マリコ先生から,LABEL_0,0.9577,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,41.757,45.696,SPEAKER_01,対象や国際大会のお話をお聞きしたいと思います。,LABEL_2,0.9746,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,46.596,49.55,SPEAKER_01,本田さん、駆田煜先生、よろしくお願いします。,LABEL_2,0.9064,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,51.825,55.526,SPEAKER_02,イチアマ体操部首相の本田美奈美です。よろしくお願いします。,LABEL_0,0.8633,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,56.392,59.618,SPEAKER_02,体操部顧問の駆けたにまり子です。よろしくお願いします。,LABEL_0,0.9131,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,60.908,62.301,SPEAKER_01,8月のインターハイ,LABEL_2,0.7125,2025-09-12T14:09:26
amagasaki__2014_10_28_2min.mp3,62.385,64.508,SPEAKER_01,9月のアジア大会と引き続き,LABEL_0,0.9101,2025-09-12T14:09:26
