file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
isha_yougo.mp3,0.008,3.744,SPEAKER_01,次の方どうぞ,LABEL_2,0.7993,2025-09-14T07:22:39
isha_yougo.mp3,6.715,18.786,SPEAKER_01,お願いします宮本さんまだ咳続いてるみたいですねそうなんですよ、ちょっとまだ咳嗽が、湿性咳嗽なんですけど,LABEL_3,0.3322,2025-09-14T07:22:39
isha_yougo.mp3,19.007,21.74,SPEAKER_01,ちょっとレントゲン取ったの見ていただいて,LABEL_2,0.9288,2025-09-14T07:22:39
isha_yougo.mp3,26.732,29.839,SPEAKER_01,まあ全然綺麗な肺ですですよ、何の問題もなく,LABEL_0,0.9672,2025-09-14T07:22:39
isha_yougo.mp3,30.28,38.141,SPEAKER_00,そうですねコンソリデーションもエアブロンコグラムもないしCTRも大丈夫ですねCPAもシャープで骨軟部も大丈夫そっか,LABEL_2,0.7645,2025-09-14T07:22:39
isha_yougo.mp3,38.82,39.958,SPEAKER_00,肺はクリアですね,LABEL_0,0.9349,2025-09-14T07:22:39
isha_yougo.mp3,40.433,41.961,SPEAKER_00,じゃあ何なんだろう,LABEL_0,0.6324,2025-09-14T07:22:39
isha_yougo.mp3,43.014,43.998,SPEAKER_00,ちょっと痰でるんで,LABEL_1,0.6688,2025-09-14T07:22:39
isha_yougo.mp3,43.998,49.329,SPEAKER_01,喀痰培養だけ提出しておきましょうか、痰培お願いします。わかりました,LABEL_0,0.5311,2025-09-14T07:22:39
isha_yougo.mp3,50.127,53.2,SPEAKER_01,もしかして医療関係の方ですか?,LABEL_3,0.9248,2025-09-14T07:22:39
isha_yougo.mp3,54.66,56.477,SPEAKER_01,まあそんな感じですね。,LABEL_0,0.8572,2025-09-14T07:22:39
isha_yougo.mp3,57.309,60.382,SPEAKER_01,一応準じてますそれに。,LABEL_2,0.8676,2025-09-14T07:22:39
isha_yougo.mp3,60.484,62.385,SPEAKER_01,じゃあちょっと検査で呼ぶので,LABEL_2,0.6129,2025-09-14T07:22:39
isha_yougo.mp3,63.031,66.239,SPEAKER_01,一旦お帰りください。はいお願いします。,LABEL_2,0.9708,2025-09-14T07:22:39
