file,start_sec,end_sec,speaker,transcript,sentiment,score,created_at
amagasaki__2014_10_28_32s.mp3,1.282,2.521,SPEAKER_01,みなさん、こんにちは。,positive,0.9338,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,3.014,4.593,SPEAKER_01,あまがさき市長のいなむらです。,positive,0.9967,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,5.255,7.903,SPEAKER_01,今回は秋の特別企画として。,positive,0.9981,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,8.005,12.487,SPEAKER_01,いちりつ あまがさき高校放送部による番組をお届けします。,positive,0.9982,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,12.963,17.615,SPEAKER_01,それでは、いちりつ あまがさき高校放送部の皆さん、よろしくお願いします。,positive,0.9983,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,19.822,20.908,SPEAKER_00,みなさん、こんにちは。,positive,0.9338,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,21.333,26.002,SPEAKER_00,私は、あまがさき市立あまがさき高等学校放送部のかわしりあやかです。,positive,0.8533,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,26.851,30.501,SPEAKER_00,今日はここ、FM あまがさきのスタジオにおじゃましています。,positive,0.9788,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,31.689,32.623,SPEAKER_01,ここで今日は,positive,0.5831,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,32.776,34.932,SPEAKER_01,いちあま 女子体操きょうぎ部の,positive,0.9595,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,35.034,38.226,SPEAKER_01,ほんだみなみさんと、彼女を指導されている,positive,0.6997,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,38.599,41.35,SPEAKER_01,体育科教員のかきたにまりこ先生から,positive,0.9739,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,41.757,45.696,SPEAKER_01,体操や国際大会のお話をお聞きしたいと思います。,positive,0.997,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,46.596,49.55,SPEAKER_01,ほんださん、かきたに先生、よろしくお願いします。,positive,0.9989,2025-08-27T08:47:48
amagasaki__2014_10_28_32s.mp3,51.825,55.526,SPEAKER_02,いちあま体操部しゅしょうのほんだみなみです。よろしくお願いします。,positive,0.9992,2025-08-27T08:47:48
amagasaki__2014_10_28_2min.mp3,56.392,59.618,SPEAKER_02,体操部顧問のかきたにまり子です。よろしくお願いします。,positive,0.9988,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,60.908,64.508,SPEAKER_01,8月のインターハイ、9月のアジア大会と引き続き,positive,0.9546,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,64.949,68.26,SPEAKER_01,つい先日まで、本田さんもこくたいに参加していました。,positive,0.983,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,69.109,75.238,SPEAKER_01,そこでは、団体5位という成績をおさめるなど、この月の活躍は素晴らしいと思いました。,positive,0.9961,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,76.188,79.958,SPEAKER_01,今年のいろいろな大会を振り返っての 感想をお聞かせせください,positive,0.9972,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,81.265,85.747,SPEAKER_02,今年は今までよりも、すごく大きい大会にも出させてもらって,positive,0.9912,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,86.171,88.497,SPEAKER_02,いろいろ自分的にも成長できて,negative,0.9977,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,89.516,93.132,SPEAKER_02,テレビで見てた試合にも足させていただいて,positive,0.998,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,93.761,96.239,SPEAKER_02,すごい成長できたとしだなと思います。,positive,0.9993,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,97.75,98.379,SPEAKER_01,ほんださん,positive,0.9772,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,98.667,105.153,SPEAKER_01,韓国で開催されたアジア大会のような国際大会はやはり独特の雰囲気というものはありますか,negative,0.9944,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,106.002,112.182,SPEAKER_02,やっぱり日本での会場とインチョンでの会場はすごい光のかげんとかも,positive,0.9862,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,112.827,116.969,SPEAKER_02,天井の高さとかもすごく高くて違いましたね。,negative,0.9912,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,117.971,124.168,SPEAKER_01,かきたに先生もナショナルチームの一員として国際大会に参加していましたがどうでしたか,negative,0.9985,2025-08-27T11:01:06
amagasaki__2014_10_28_2min.mp3,124.576,125.9,SPEAKER_02,国際大会では,negative,0.7523,2025-08-27T11:01:06
